skill,skillType,source
.net,Technology,FW || BG
2-d gel electrophoresis,Special,BG
2d animation,Special,BG
360 feedback,Special,BG
3d animation,Special,BG
3d conceptual design,Special,BG
3d modelling / design,Special,BG
3d printing / additive manufacturing (am),Special,BG
3d seismic data,Special,BG
3d sketching,Special,BG
3d studio max,Technology,FW || BG
3g wireless,Special,BG
3gpp,Special,BG
3m codefinder,Technology,BG
3m encoder,Technology,BG
3m software,Technology,BG
3pl (third party logistics),Special,BG
3rd party systems integration,Special,BG
400hz systems,Special,BG
4g wireless,Special,BG
4pl (fourth party logistics),Special,BG
4th dimension,Special,BG
4th generation language,Special,BG
5-axis machining,Special,BG
5-axis milling machines,Special,BG
508 compliance testing,Special,BG
5g wireless,Special,BG
5s,Special,BG
5s methodology,Special,BG
6g welding,Special,BG
6lowpan,Special,BG
8d problem solving,Special,BG
960 grid system,Special,BG
@font-face,Special,BG
a-133 auditing,Special,BG
a/b testing,Technology,FW || BG
abb,Special,BG
ac 02,Special,BG
ac/dc drives and motors,Special,BG
acl surgery,Special,BG
acog,Special,BG
addie,Special,BG
adfm (aboriginal family decision making) meeting conduction,Special,BG
adh,Special,BG
adls assistance,Special,BG
adp enterprise,Technology,BG
adp pc/payroll,Technology,FW
adp payforce,Technology,BG
adp payroll,Technology,BG
adp reportsmith,Technology,BG
adp workforce,Technology,BG
adp ipay,Technology,BG
aix system administration,Special,BG
ajax,Technology,FW || BG
algo,Special,BG
ama style guide,Special,BG
ansi x12,Special,BG
ap style,Special,BG
apa style guide,Special,BG
api management,Special,BG
apoe,Special,BG
aqap,Special,BG
arisg,Special,BG
as/400,Technology,BG
as9100,Special,BG
asp,Technology,FW || BG
asp.net,Technology,FW || BG
asp.net ajax,Technology,BG
asp.net mvc,Technology,FW || BG
aspen,Special,BG
at-06,Special,BG
atg dynamo,Special,BG
atm maintenance,Special,BG
atm network,Special,BG
atm transactions,Special,BG
aura,Special,BG
automotive open system architecture (autosar),Special,BG
avaya aura,Special,BG
awk,Special,BG
aws cloudformation,Technology,FW || BG
aws cloudfront,Technology,FW || BG
aws dynamodb,Technology,FW || BG
aws elasticache,Technology,FW || BG
aws elastic beanstalk,Technology,FW || BG
aws elastic block store (ebs),Technology,FW || BG
aws elastic compute cloud (ec2),Technology,FW || BG
aws elastic mapreduce (emr),Technology,FW || BG
aws kinesis,Technology,FW || BG
aws redshift,Technology,FW || BG
aws simple queue service (sqs),Technology,BG
aws simple storage service (s3),Technology,FW || BG
aws simpledb,Technology,BG
ab initio,Technology,BG
abaqus,Technology,BG
