name,gender,value,color,rn
Physics,F,2.8,white,1
IT,F,4.9,white,2
Engineering,F,2.5,white,3
Architecture,F,3.6,white,4
Agriculture,F,4.2,white,5
Health,F,3.4,white,6
Education,F,3.6,white,7
Commerce,F,4.5,white,8
Society,F,4.5,white,9
Arts,F,4.6,white,10
Mixed,F,9.1,white,11
Physics,M,3.2,black,1
IT,M,6,black,2
Engineering,M,3.2,black,3
Architecture,M,3.8,black,4
Agriculture,M,4.5,black,5
Health,M,3.6,black,6
Education,M,3.9,black,7
Commerce,M,4.3,black,8
Society,M,5,black,9
Arts,M,5.5,black,10
Mixed,M,9.2,black,11
