sa4_code,anzsco4_code,anzsco4_name,sa4_name,state,extraction_date,prediction
701,1111,Chief Executives and Managing Directors,Darwin,Northern Territory,1/01/2019,174
701,1112,General Managers,Darwin,Northern Territory,1/01/2019,553
701,1113,Legislators,Darwin,Northern Territory,1/01/2019,85
701,1212,Crop Farmers,Darwin,Northern Territory,1/01/2019,423
701,1311,"Advertising, Public Relations and Sales Managers",Darwin,Northern Territory,1/01/2019,488
701,1321,Corporate Services Managers,Darwin,Northern Territory,1/01/2019,319
701,1323,Human Resource Managers,Darwin,Northern Territory,1/01/2019,324
701,1324,Policy and Planning Managers,Darwin,Northern Territory,1/01/2019,204
701,1325,Research and Development Managers,Darwin,Northern Territory,1/01/2019,180
701,1331,Construction Managers,Darwin,Northern Territory,1/01/2019,880
701,1332,Engineering Managers,Darwin,Northern Territory,1/01/2019,233
701,1333,"Importers, Exporters and Wholesalers",Darwin,Northern Territory,1/01/2019,117
701,1334,Manufacturers,Darwin,Northern Territory,1/01/2019,113
701,1335,Production Managers,Darwin,Northern Territory,1/01/2019,210
701,1341,Child Care Centre Managers,Darwin,Northern Territory,1/01/2019,137
701,1342,Health and Welfare Services Managers,Darwin,Northern Territory,1/01/2019,333
701,1344,Other Education Managers,Darwin,Northern Territory,1/01/2019,76
701,1351,ICT Managers,Darwin,Northern Territory,1/01/2019,87
701,1399,Other Specialist Managers,Darwin,Northern Territory,1/01/2019,427
701,1411,Cafe and Restaurant Managers,Darwin,Northern Territory,1/01/2019,595
701,1413,Hotel and Motel Managers,Darwin,Northern Territory,1/01/2019,126
701,1414,Licensed Club Managers,Darwin,Northern Territory,1/01/2019,70
701,1419,Other Accommodation and Hospitality Managers,Darwin,Northern Territory,1/01/2019,162
701,1421,Retail Managers,Darwin,Northern Territory,1/01/2019,1197
701,1491,"Amusement, Fitness and Sports Centre Managers",Darwin,Northern Territory,1/01/2019,81
701,1492,Call or Contact Centre and Customer Service Managers,Darwin,Northern Territory,1/01/2019,201
701,1493,Conference and Event Organisers,Darwin,Northern Territory,1/01/2019,406
701,1494,Transport Services Managers,Darwin,Northern Territory,1/01/2019,197
