,JEDI_OCC,JEDI_CODE,nJobs,SKILL_NAME,nSkills,intensity
5850,Actuary,J224111,1127,Account Auditing,11,0.009760425909494231
5851,Actuary,J224111,1127,Account Management,2,0.0017746228926353148
5852,Actuary,J224111,1127,Accounting,42,0.037267080745341616
5853,Actuary,J224111,1127,Accounting Systems,1,0.0008873114463176574
5854,Actuary,J224111,1127,Accounts Payable / Accounts Receivable,11,0.009760425909494231
5855,Actuary,J224111,1127,Ad Campaigns,1,0.0008873114463176574
5856,Actuary,J224111,1127,Ad Hoc Analysis,5,0.004436557231588288
5857,Actuary,J224111,1127,Administrative Support,2,0.0017746228926353148
5858,Actuary,J224111,1127,Algebra,1,0.0008873114463176574
5859,Actuary,J224111,1127,Alteryx,1,0.0008873114463176574
5860,Actuary,J224111,1127,Analytical Functions,1,0.0008873114463176574
5861,Actuary,J224111,1127,Analytical Software,10,0.008873114463176575
5862,Actuary,J224111,1127,Annual Reports,11,0.009760425909494231
5863,Actuary,J224111,1127,Annuities,17,0.015084294587400175
5864,Actuary,J224111,1127,Application Lifecycle Management,12,0.010647737355811891
5865,Actuary,J224111,1127,Application Support,1,0.0008873114463176574
5866,Actuary,J224111,1127,Applied Statistics,2,0.0017746228926353148
5867,Actuary,J224111,1127,Asset Allocation,2,0.0017746228926353148
5868,Actuary,J224111,1127,Asset Liability Management,15,0.013309671694764862
5869,Actuary,J224111,1127,Asset Management,3,0.002661934338952973
5870,Actuary,J224111,1127,Balance Sheet,9,0.007985803016858917
5871,Actuary,J224111,1127,Benchmarking,10,0.008873114463176575
5872,Actuary,J224111,1127,Benefits Analysis,5,0.004436557231588288
5873,Actuary,J224111,1127,Big Data,8,0.007098491570541259
5874,Actuary,J224111,1127,Big Data Analytics,1,0.0008873114463176574
5875,Actuary,J224111,1127,Biologics Development,16,0.014196983141082519
5876,Actuary,J224111,1127,Brand Management,2,0.0017746228926353148
5877,Actuary,J224111,1127,Broadcast,1,0.0008873114463176574
5878,Actuary,J224111,1127,Budgeting,47,0.0417036379769299
5879,Actuary,J224111,1127,Business Acumen,23,0.020408163265306117
5880,Actuary,J224111,1127,Business Administration,5,0.004436557231588288
5881,Actuary,J224111,1127,Business Analysis,26,0.023070097604259092
5882,Actuary,J224111,1127,Business Communications,1,0.0008873114463176574
5883,Actuary,J224111,1127,Business Consulting,4,0.0035492457852706297
5884,Actuary,J224111,1127,Business Development,26,0.023070097604259092
5885,Actuary,J224111,1127,Business Intelligence,20,0.01774622892635315
5886,Actuary,J224111,1127,Business Intelligence Reporting,7,0.006211180124223602
5887,Actuary,J224111,1127,Business Management,9,0.007985803016858917
5888,Actuary,J224111,1127,Business Metrics,6,0.005323868677905946
5889,Actuary,J224111,1127,Business Modelling,1,0.0008873114463176574
5890,Actuary,J224111,1127,Business Operations,2,0.0017746228926353148
5891,Actuary,J224111,1127,Business Planning,49,0.043478260869565216
5892,Actuary,J224111,1127,Business Process,5,0.004436557231588288
5893,Actuary,J224111,1127,Business Requirements Documentation,1,0.0008873114463176574
5894,Actuary,J224111,1127,Business Strategy,7,0.006211180124223602
5895,Actuary,J224111,1127,Business Systems Analysis,4,0.0035492457852706297
5896,Actuary,J224111,1127,Calculus,1,0.0008873114463176574
5897,Actuary,J224111,1127,Calibration,2,0.0017746228926353148
5898,Actuary,J224111,1127,Cancer knowledge,1,0.0008873114463176574
5899,Actuary,J224111,1127,Capital Adequacy,10,0.008873114463176575
5900,Actuary,J224111,1127,Capital Allocation,1,0.0008873114463176574
5901,Actuary,J224111,1127,Capital Markets,16,0.014196983141082519
5902,Actuary,J224111,1127,Capital Planning,2,0.0017746228926353148
5903,Actuary,J224111,1127,Career Development,1,0.0008873114463176574
5904,Actuary,J224111,1127,Case Management,1,0.0008873114463176574
5905,Actuary,J224111,1127,Change Management,2,0.0017746228926353148
5906,Actuary,J224111,1127,Child Protection,1,0.0008873114463176574
5907,Actuary,J224111,1127,Claims Adjustments,2,0.0017746228926353148
5908,Actuary,J224111,1127,Claims Knowledge,40,0.0354924578527063
5909,Actuary,J224111,1127,Claims Processing,1,0.0008873114463176574
5910,Actuary,J224111,1127,Classroom Training,3,0.002661934338952973
5911,Actuary,J224111,1127,Competitive Analysis,8,0.007098491570541259
5912,Actuary,J224111,1127,Conflict Management,6,0.005323868677905946
5913,Actuary,J224111,1127,Consumer Behaviour,2,0.0017746228926353148
5914,Actuary,J224111,1127,Consumer Research,15,0.013309671694764862
5915,Actuary,J224111,1127,Consumer Segmentation,3,0.002661934338952973
5916,Actuary,J224111,1127,Contract Management,1,0.0008873114463176574
5917,Actuary,J224111,1127,Contract Preparation,1,0.0008873114463176574
5918,Actuary,J224111,1127,Contract Review,1,0.0008873114463176574
5919,Actuary,J224111,1127,Corporate Social Responsibility,2,0.0017746228926353148
5920,Actuary,J224111,1127,Cost Control,1,0.0008873114463176574
5921,Actuary,J224111,1127,Cost Estimation,3,0.002661934338952973
5922,Actuary,J224111,1127,Costing,20,0.01774622892635315
5923,Actuary,J224111,1127,Credibility and Trust,1,0.0008873114463176574
5924,Actuary,J224111,1127,Credit Risk,10,0.008873114463176575
5925,Actuary,J224111,1127,Customer Acquisition,1,0.0008873114463176574
5926,Actuary,J224111,1127,Customer Contact,27,0.023957409050576757
